ID	UNNAMED	ORP	ORF	ORT	PHM	PHT	IPA	TRA	CONCEPT	CSA	SRC	REF	COA	EML_(AUTEUR)	EMF_(AUTEUR)	EMT_(AUTEUR)	EML_(SAISIE)	EMF_(SAISIE)	EMT_(SAISIE)	CGR	DV	TOKENS	DOCULECT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT	COGIDS	STRUCTURE	PATTERNS
1095	976	0	0	memɨrari ~ mɨmɨrari			memɨɾaɾi	estar embarazada	be pregnant (intr)	OL: Also /mɨmɨɾaɾi/	9	132								V.		m e m ɨ ɾ a ɾ i	Kokama	4 7 4 7 5 7 5 7	AXBYBYBZ	MEMIRARI	1	1.M.C 1.E.V 1.M.C 1.I.V 1.R.C 1.A.V 1.R.C 1.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	216	m e m ɨ ɾ a - - ɾ i	216	c c c c c c c c	12-gen_m/m 19-gen_e/e 12-gen_m/m 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 1-gen_a/a 127-2/- 31-kok_simp/- 3-gen_ɾ/ɾ 134-2/i
2855	1194	0	0	puruá			puɾuʔá	prenhe, grávido	be pregnant (intr)		2	132										p u ɾ u ʔ á	Tupinamba	1 7 5 7 1 7	AXBYBZ	PYRYHA	3	3.P.C 3.Y.V 3.R.C 3.Y.V 3.H.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	217	p u ɾ u ʔ á	217	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
841	518	518	1	erapaka			eɾapaka	ser lindo	be pretty, beautiful		9	55								V.		e ɾ a p a k a	Kokama	7 5 7 1 7 1 7	XBYBYBZ	ERAPAKA	1	1.E.V 1.R.C 1.A.V 1.P.C 1.A.V 1.K.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	218	e ɾ a p a k a	218	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
1709	682	0	0	amarana			amaɾana	estar quieto	be quiet, calm		1	172									(xe)	a m a ɾ a n a	Tupinamba	7 4 7 5 7 4 7	XBYBYBZ	AMARANA	3	3.A.V 3.M.C 3.A.V 3.R.C 3.A.V 3.N.C 3.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	219	a m a ɾ a n a	219	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
2032	1421	845	2	cuacuba			kuakuβa	calar	be quiet, shush, silence	OL: Lemos Barbosa writes <kuakuba> rather than <kûa->. Could also be /kuʔa-/	2	47								tr.		k u a k u β a	Tupinamba	1 7 7 1 7 3 7	AXYBYBZ	KYAKYBA	3	3.K.C 3.Y.V 3.A.V 3.K.C 3.Y.V 3.B.C 3.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	220	k u a k u β a	220	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
1196	577	0	0	pua		puá	pwa	estar descompuesto, podrido, ser hediondo. Por ejemplo se aplica para frutos caídos y alimentos que no se salaron como el pescado, también se aplica para los animales muertos	be rotten		9	164								V.		p w a	Kokama	1 6 2007	ACX	PWA	1	1.P.C 1.W.C 1.A.V	2.0 1.5 1.5	0	221	p w a	221	c c c	0/n 0/n 0/n
633	606	0	0		yamɨmɨa		jamɨmɨa	grieve	be sad (intr)													j a m ɨ m ɨ a	Omagua	6 7 4 7 4 7 7	AXBYBYZ	JAMIMIA	2	2.J.C 2.A.V 2.M.C 2.I.V 2.M.C 2.I.V 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	222	j a m ɨ m ɨ a	222	c c c c c c c	15-gen_j/j 1-gen_a/a 12-gen_m/m 9-gen_ɨ/ɨ 12-gen_m/m 65-6/- 1-gen_a/a
1517	899	899	1	yamɨma			jamɨma	estar triste, tristeza	be sad (intr)		9	254								V.		j a m ɨ m a	Kokama	6 7 4 7 4 7	AXBYBZ	JAMIMA	1	1.J.C 1.A.V 1.M.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	222	j a m ɨ m - a	222	c c c c c c	15-gen_j/j 1-gen_a/a 12-gen_m/m 9-gen_ɨ/ɨ 12-gen_m/m 65-6/- 1-gen_a/a
1851	1082	0	0	aruru			aɾuɾu	tristonho	be sad (intr)		2	36										a ɾ u ɾ u	Tupinamba	7 5 7 5 7	XBYBZ	ARYRY	3	3.A.V 3.R.C 3.Y.V 3.R.C 3.Y.V	1.5 1.75 1.3 1.75 0.8	0	223	a ɾ u ɾ u	223	c c c c c	0/n 0/n 0/n 0/n 0/n
3011	961	0	0	syia			sɨja	assustarse	be scared (v.), be afraid		1	36										s ɨ j a	Tupinamba	3 7 6 7	AXBZ	SIJA	3	3.S.C 3.I.V 3.J.C 3.A.V	2.0 1.5 1.75 0.8	0	224	s ɨ j a	224	c c c c	11-deaffric/ts 175-ɨ/ɨ 32-j/j 10-fin_a_loss/-
2250	1470	947	1	jecuaba			jekʷaβa	ser visto ou visível	be seen or visible		2	76										j e kʷ a β a	Tupinamba	6 7 1 7 3 7	AXBYBZ	JEKABA	3	3.J.C 3.E.V 3.K.C 3.A.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	225	j e kʷ a β a	225	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
960	1091	631	1	ɨtsɨma			ɨtsɨma	ser resbaloso, flemoso	be slippery		9	81								V.		ɨ ts ɨ m a	Kokama	7 2 7 4 7	XBYBZ	ICIMA	1	1.I.V 1.C.C 1.I.V 1.M.C 1.A.V	1.5 1.75 1.3 1.75 0.8	0	226	ɨ ts ɨ m a	226	c c c c c	0/n 0/n 0/n 0/n 0/n
1000	1095	606	2	kaniu			kanju	ser lento	be slow		9	93								V.		k a n j u	Kokama	1 7 4 6 7	AXBCZ	KANJY	1	1.K.C 1.A.V 1.N.C 1.J.C 1.Y.V	2.0 1.5 1.75 1.5 0.8	0	227	k a n j u	227	c c c c c	0/n 0/n 0/n 0/n 0/n
834	533	0	0	chura			tʃuɾa	ser pequeño	be small		9	52								V.		tʃ u ɾ a	Kokama	1 7 5 7	AXBZ	TYRA	1	1.T.C 1.Y.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	0	228	tʃ u ɾ a	228	c c c c	23-deaffric_i/tʃ 5-gen_u/u 3-gen_ɾ/ɾ 1-gen_a/a
959	631	631	3	ɨtsɨma			ɨtsɨma	ser liso, alizar objeto o espacio que no presenta asperezas, adornos o arrugas	be smooth		9	81								V.		ɨ + ts ɨ m a	Kokama	7 2 7 4 7	XBYBZ	ICIMA	1	1.I.V 1.C.C 1.I.V 1.M.C 1.A.V	1.5 1.75 1.3 1.75 0.8	1	229	ɨ + ts ɨ m a	3700 2029	c c c c c	9-gen_ɨ/ɨ + 11-deaffric/ts 9-gen_ɨ/ɨ 12-gen_m/m 1-gen_a/a
957	433	0	0	ɨtsɨka			ɨtsɨka	ser pegajoso, gomoso, por ejemplo: la recina de caimito, plátano, pan de árbol, etc.	be sticky, gummy		9	81								V.		ɨ ts ɨ k a	Kokama	7 2 7 1 7	XBYBZ	ICIKA	1	1.I.V 1.C.C 1.I.V 1.K.C 1.A.V	1.5 1.75 1.3 1.75 0.8	0	230	ɨ ts ɨ k a	230	c c c c c	0/n 0/n 0/n 0/n 0/n
530	662	0	0		tɨwɨti		tɨwɨti		be stinky (smell bad) (intr)													t ɨ w ɨ t i	Omagua	1 7 6 7 1 7	AXBYBZ	TIWITI	2	2.T.C 2.I.V 2.W.C 2.I.V 2.T.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	231	t ɨ w ɨ t i	231	c c c c c c	7-gen_t/t 9-gen_ɨ/ɨ 17-b>w/w 9-gen_ɨ/ɨ 7-gen_t/t 8-gen_i/i
1280	966	0	0	tɨwɨti			tɨwɨti	oler mal, apestar	be stinky (smell bad) (intr)		9	194								V.		t ɨ w ɨ t i	Kokama	1 7 6 7 1 7	AXBYBZ	TIWITI	1	1.T.C 1.I.V 1.W.C 1.I.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	231	t ɨ w ɨ t i	231	c c c c c c	7-gen_t/t 9-gen_ɨ/ɨ 17-b>w/w 9-gen_ɨ/ɨ 7-gen_t/t 8-gen_i/i
1497	608	608	1	wɨka			wɨka	ser físicamente fuerte	be strong		9	246								V.		w ɨ k a	Kokama	6 7 1 7	AXBZ	WIKA	1	1.W.C 1.I.V 1.K.C 1.A.V	2.0 1.5 1.75 0.8	0	232	w ɨ k a	232	c c c c	17-b>w/w 9-gen_ɨ/ɨ 4-gen_k/k 1-gen_a/a
2487	843	843	1	mondara			mondaɾa	tomar por, suspeitar mal de	be suspicious of		2	97	[essé]							tr.-rel.		m o nd a ɾ a	Tupinamba	4 7 4 1 7 5 7	AXMBYBZ	MUNTARA	3	3.M.C 3.U.V 3.N.c 3.T.C 3.A.V 3.R.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	1	233	m o nd a ɾ a	233	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
842	1068	518	2	erapaka			eɾapaka	ser dulce	be sweet		9	55								V.		e ɾ a p a k a	Kokama	7 5 7 1 7 1 7	XBYBYBZ	ERAPAKA	1	1.E.V 1.R.C 1.A.V 1.P.C 1.A.V 1.K.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	1	234	e ɾ a p a k a	234	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
1064	611	0	0	kurukuru		kurkuru	kuɾukuɾu	ser grueso	be thick		9	115								V.		k u ɾ u k u ɾ u	Kokama	1 7 5 7 1 7 5 7	AXBYBYBZ	KYRYKYRY	1	1.K.C 1.Y.V 1.R.C 1.Y.V 1.K.C 1.Y.V 1.R.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	235	k u ɾ u k u ɾ u	235	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
123	607	0	0		ɪyusɪ		ɪjusɪ		be thirsty (intr)													ɪ j u s ɪ	Omagua	7 6 7 3 7	XBYBZ	IJYSI	2	2.I.V 2.J.C 2.Y.V 2.S.C 2.I.V	1.5 1.75 1.3 1.75 0.8	0	237	ɪ j u s ɪ - -	237	c c c c c	56-6/e 36-15/j 5-gen_u/u 11-deaffric/ts 19-gen_e/e 32-15/- 10-fin_a_loss/-
777	900	0	0	anati			anati	tener sed	be thirsty (intr)		9	31								V.		a n a t i	Kokama	7 4 7 1 7	XBYBZ	ANATI	1	1.A.V 1.N.C 1.A.V 1.T.C 1.I.V	1.5 1.75 1.3 1.75 0.8	0	238	a n a t i	238	c c c c c	0/n 0/n 0/n 0/n 0/n
3149	1083	0	0	usseia			useja	sêde; ter sêde	be thirsty (intr)		2	158										u s e j a	Tupinamba	7 3 7 6 7	XBYBZ	YSEJA	3	3.Y.V 3.S.C 3.E.V 3.J.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	236	- - u s e j a	237	c c c c c	56-6/e 36-15/j 5-gen_u/u 11-deaffric/ts 19-gen_e/e 32-15/- 10-fin_a_loss/-
747	589	589	2	aiwa			ajwa	estar cansado	be tired		9	22								V.		a j w a	Kokama	7 6 6 7	XMBZ	AJWA	1	1.A.V 1.J.c 1.W.C 1.A.V	1.5 1.1 1.75 0.8	1	239	a j w a	239	c c c c	0/n 0/n 0/n 0/n
889	586	0	0	ipuri			ipuɾi	estar anímicamente cansado, harto de algo, no implica necesariamente cansancio físico	be tired of something, fed up with something		9	65								V.		i p u ɾ i	Kokama	7 1 7 5 7	XBYBZ	IPYRI	1	1.I.V 1.P.C 1.Y.V 1.R.C 1.I.V	1.5 1.75 1.3 1.75 0.8	0	240	i p u ɾ i	240	c c c c c	0/n 0/n 0/n 0/n 0/n
740	524	524	4	aitse			ajtse	servfeo	be ugly		9	21								V.		a j ts e	Kokama	7 6 2 7	XMBZ	AJCE	1	1.A.V 1.J.c 1.C.C 1.E.V	1.5 1.1 1.75 0.8	1	241	- a j ts e - -	69	c c c c	32-15/- 50-e>a/a 137-1/j 11-deaffric/ts 19-gen_e/e 32-15/- 1111-fin_a_morph/a
744	1058	524	3	aitse			ajtse	ser inútil	be useless		9	21								V.		a j ts e	Kokama	7 6 2 7	XMBZ	AJCE	1	1.A.V 1.J.c 1.C.C 1.E.V	1.5 1.1 1.75 0.8	1	242	a j ts e	242	c c c c	0/n 0/n 0/n 0/n
742	1056	524	1	aitse			ajtse	ser débil	be weak		9	21								V.		a j ts e	Kokama	7 6 2 7	XMBZ	AJCE	1	1.A.V 1.J.c 1.C.C 1.E.V	1.5 1.1 1.75 0.8	1	243	a j ts e	243	c c c c	0/n 0/n 0/n 0/n
999	606	606	1	kaniu			kanju	estar débil, enfermo, derrotado, estar desahuciado, grave	be weak (feeble)		9	93								V.		k a n j u	Kokama	1 7 4 6 7	AXBCZ	KANJY	1	1.K.C 1.A.V 1.N.C 1.J.C 1.Y.V	2.0 1.5 1.75 1.5 0.8	1	244	k a n j - u	244	c c c c c	4-gen_k/k 1-gen_a/a 18-gen_n/n 100-med_e>i/e 13-glott_loss/- 57-nas_o>u/u
1270	549	0	0	tɨa ~ tɨya			tɨja	estar húmedo	be wet	OL: Also /tɨa/	9	191								V.		t ɨ j a	Kokama	1 7 6 7	AXBZ	TIJA	1	1.T.C 1.I.V 1.J.C 1.A.V	2.0 1.5 1.75 0.8	0	245	t ɨ j a	2457	c c c c	7-gen_t/t 9-gen_ɨ/ɨ 43-11/j 29-16/a
1265	316	0	0	tini			tini	ser blanco	be white		9	190								V.		t i n i	Kokama	1 7 4 7	AXBZ	TINI	1	1.T.C 1.I.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	0	246	t i n i	246	c c c c	7-gen_t/t 8-gen_i/i 46-ŋ>n/n 21-fin_i_a/i
839	626	0	0	epewatsu			epewatsu	ser ancho, amplio	be wide		9	54								V.		e + p e w a ts u	Kokama	7 1 7 6 7 2 7	XBYBYBZ	EPEWACY	1	1.E.V 1.P.C 1.E.V 1.W.C 1.A.V 1.C.C 1.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	247	e + p e w a ts u	3000 2475	c + c c c c c c	19-gen_e/e + 6-gen_p/p 112-2/e 38-gw>w/w 1-gen_a/a 11-deaffric/ts 5-gen_u/u
2949	1654	992	5	recó			ɾekó	estar com	be with		2	139								tr.		ɾ e k ó	Tupinamba	5 7 1 7	AXBZ	REKU	3	3.R.C 3.E.V 3.K.C 3.U.V	2.0 1.5 1.75 0.8	0	249	ɾ e k ó	249	c c c c	0/n 0/n 0/n 0/n
2955	1657	997	1	rocuba			ɾokuβa	estar com	be with		2	140								tr.		ɾ o k u β a	Tupinamba	5 7 1 7 3 7	AXBYBZ	RUKYBA	3	3.R.C 3.U.V 3.K.C 3.Y.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	248	ɾ o k u β a	248	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
99	413	0	0		iyuka		ijuka	be worn out, e.g., furniture, shirt, etc.	be worn out													i j u k a	Omagua	7 6 7 1 7	XBYBZ	IJYKA	2	2.I.V 2.J.C 2.Y.V 2.K.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	250	i j u k a	250	c c c c c	28-14/i 15-gen_j/j 5-gen_u/u 4-gen_k/k 1-gen_a/a
2025	995	0	0	cuaba			kuaβa	estar, geral, só de pl.	be, generic plural	OL: <cua-> could also be /kʷa-/ or /kuʔa-/	1	97										k u a β a	Tupinamba	1 7 7 3 7	AXYBZ	KYABA	3	3.K.C 3.Y.V 3.A.V 3.B.C 3.A.V	2.0 1.5 1.3 1.75 0.8	0	251	k u a β a	251	c c c c c	0/n 0/n 0/n 0/n 0/n
1427	1164	919	2	uki			uki	estar muy caliente	be/feel very hot		9	226								V.		u k i	Kokama	7 1 2007	XBZ	YKI	1	1.Y.V 1.K.C 1.I.V	1.5 1.75 0.8	0	252	u k i	252	c c c	0/n 0/n 0/n
96	339	305	2		itini		itini	sand, beach	beach													i t i n i	Omagua	7 1 7 4 7	XBYBZ	ITINI	2	2.I.V 2.T.C 2.I.V 2.N.C 2.I.V	1.5 1.75 1.3 1.75 0.8	0	253	i t i n i	253	c c c c c	8-gen_i/i 7-gen_t/t 8-gen_i/i 18-gen_n/n 8-gen_i/i
905	448	397	2	itini			itini	playa	beach		9	69								N.		i t i n i	Kokama	7 1 7 4 7	XBYBZ	ITINI	1	1.I.V 1.T.C 1.I.V 1.N.C 1.I.V	1.5 1.75 1.3 1.75 0.8	0	253	i t i n i	253	c c c c c	8-gen_i/i 7-gen_t/t 8-gen_i/i 18-gen_n/n 8-gen_i/i
1364	1152	369	3	tsɨma			tsɨma	playa	beach		9	216								N.		ts ɨ m a	Kokama	2 7 4 7	AXBZ	CIMA	1	1.C.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	0	254	ts ɨ m a	254	c c c c	0/n 0/n 0/n 0/n
3218	516	0	0	yembijeia			ɨembijeja	praia	beach	OL: Possibly /ɨʔembijeja/?	1	166										ɨ e mb i j e j a	Tupinamba	7 7 4 1 7 6 7 6 7	XYMBYBYBZ	IEMPIJEJA	3	3.I.V 3.E.V 3.M.c 3.P.C 3.I.V 3.J.C 3.E.V 3.J.C 3.A.V	1.5 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8	0	255	ɨ e mb i j e j a	255	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
2370	532	532	1	mboyra			mboʔɨɾa	conta	bead		2	87										mb o ʔ ɨ ɾ a	Tupinamba	4 1 7 1 7 5 7	ACYBYBZ	MPUHIRA	3	3.M.C 3.P.C 3.U.V 3.H.C 3.I.V 3.R.C 3.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	256	mb o ʔ ɨ ɾ a	256	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
371	177	0	0		sai1		sai		beak													s a i	Omagua	3 7 2007	AXZ	SAI	2	2.S.C 2.A.V 2.I.V	2.0 1.5 0.8	0	258	s a i	258	c c c	0/n 0/n 0/n
1289	238	13	2	tsai			tsaj	pico de aves	beak		9	200								N.		ts a j	Kokama	2 7 2006	AXN	CAJ	1	1.C.C 1.A.V 1.J.c	2.0 1.5 0.8	0	259	ts a j	259	c c c	0/n 0/n 0/n
3051	239	30	3	tĩ			tĩ	bico	beak		2	151										t ĩ	Tupinamba	1 7	AX	TI	3	3.T.C 3.I.V	2.0 1.5	0	257	t ĩ	257	c c	0/n 0/n
306	22	0	0		muta		muta	beard	beard, moustache, facial hair													m u t a	Omagua	4 7 1 7	AXBZ	MYTA	2	2.M.C 2.Y.V 2.T.C 2.A.V	2.0 1.5 1.75 0.8	0	260	- m u t a - -	260	c c c c	10-fin_a_loss/- 12-gen_m/m 14-o>u/u 7-gen_t/t 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
1128	1110	28	2	muta			muta	barba, pelo que nace en esta parte de la cara y en los carrillos	beard, moustache, facial hair		9	142								N.		m u t a	Kokama	4 7 1 7	AXBZ	MYTA	1	1.M.C 1.Y.V 1.T.C 1.A.V	2.0 1.5 1.75 0.8	0	260	- m u t a - -	260	c c c c	10-fin_a_loss/- 12-gen_m/m 14-o>u/u 7-gen_t/t 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
1776	1353	1294	1	apatucá			apatuká	apisoar, machucar, bater	beat		2	30										a p a t u k á	Tupinamba	7 1 7 1 7 1 7	XBYBYBZ	APATYKA	3	3.A.V 3.P.C 3.A.V 3.T.C 3.Y.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	261	a p a t u k á	261	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
52	552	0	0		ayuka		ajuka	pegar	beat, hit (trans)													a + j u k a	Omagua	7 6 7 1 7	XBYBZ	AJYKA	2	2.A.V 2.J.C 2.Y.V 2.K.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	265	a + j u k a	200 265	c + c c c c	1-gen_a/a + 15-gen_j/j 5-gen_u/u 4-gen_k/k 16-gen_a_tpn_stress/a
70	551	0	0		inupa		inupa	golpear	beat, hit (trans)													i n u p a	Omagua	7 4 7 1 7	XBYBZ	INYPA	2	2.I.V 2.N.C 2.Y.V 2.P.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	262	i n u p a	262	c c c c c	28-14/i 18-gen_n/n 5-gen_u/u 6-gen_p/p 26-nas_a/a
869	815	0	0	inupa			inupa	golpear algo o alguien utilizando un instrumento por ejemplo la mano, un palo, una piedra, etc.	beat, hit (trans)		9	62								V.		i n u p a	Kokama	7 4 7 1 7	XBYBZ	INYPA	1	1.I.V 1.N.C 1.Y.V 1.P.C 1.A.V	1.5 1.75 1.3 1.75 0.8	0	262	i n u p a	262	c c c c c	28-14/i 18-gen_n/n 5-gen_u/u 6-gen_p/p 26-nas_a/a
1409	1203	1044	1	tutuka			tutuka	golpear con el puño, por ejemplo dar un puñete.	beat, hit (trans)		9	198								V.		t u t u k a	Kokama	1 7 1 7 1 7	AXBYBZ	TYTYKA	1	1.T.C 1.Y.V 1.T.C 1.Y.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	264	t u t u k a	264	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2614	982	0	0	nupã			nupã	açoutar, bater	beat, hit (trans)		2	113										n u p ã	Tupinamba	4 7 1 7	AXBZ	NYPA	3	3.N.C 3.Y.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0	262	- n u p ã	262	c c c c	28-14/i 18-gen_n/n 5-gen_u/u 6-gen_p/p 26-nas_a/a
2755	985	0	0	poara			pʷaɾa	bater em	beat, hit (trans)		2	126	[essé]									pʷ a ɾ a	Tupinamba	1 7 5 7	AXBZ	PARA	3	3.P.C 3.A.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	0	263	pʷ a ɾ a	263	c c c c	0/n 0/n 0/n 0/n
804	817	817	2	ayuka			ajuka	quebrar, chancar o golpear alguna cosa de dimensión redonda como las tinajas, los huevos. Este término no se aplica para las cosas largas como los palos.	beat, hit (trans) (something round)		9	44								V.		a + j u k a	Kokama	7 6 7 1 7	XBYBZ	AJYKA	1	1.A.V 1.J.C 1.Y.V 1.K.C 1.A.V	1.5 1.75 1.3 1.75 0.8	0	266	a + j u k a	200 265	c + c c c c	1-gen_a/a + 15-gen_j/j 5-gen_u/u 4-gen_k/k 16-gen_a_tpn_stress/a
2549	987	0	0	motaca			motaka	bater, tocar (produzindo ruído sêco)	beat, play (making a clicking/clacking noise		2	102								tr.		m o t a k a	Tupinamba	4 7 1 7 1 7	AXBYBZ	MUTAKA	3	3.M.C 3.U.V 3.T.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	267	m o t a k a	267	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2721	1596	630	1	peyba			peɨβa	trilhado	beaten	OL: Possibly /peʔɨβa/?	2	123										p e ɨ β a	Tupinamba	1 7 7 3 7	AXYBZ	PEIBA	3	3.P.C 3.E.V 3.I.V 3.B.C 3.A.V	2.0 1.5 1.3 1.75 0.8	0	268	p e ɨ β a	268	c c c c c	0/n 0/n 0/n 0/n 0/n
2727	1600	825	4	pica			pika	ficar absorto	become absorbed, interested		2	123										p i k a	Tupinamba	1 7 1 7	AXBZ	PIKA	3	3.P.C 3.I.V 3.K.C 3.A.V	2.0 1.5 1.75 0.8	0	269	p i k a	269	c c c c	0/n 0/n 0/n 0/n
823	392	0	0	chirikaka			tʃiɾikaka	hacer barro, barroso, ensuavizar la tierra mezclándola con agua.	become muddy		9	48								V.		tʃ i ɾ i + k a k a	Kokama	1 7 5 7 1 7 1 7	AXBYBYBZ	TIRIKAKA	1	1.T.C 1.I.V 1.R.C 1.I.V 1.K.C 1.A.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	270	tʃ i ɾ i + k a k a	270 317	c c c c + c c c c	23-deaffric_i/tʃ 8-gen_i/i 3-gen_ɾ/ɾ 8-gen_i/i + 4-gen_k/k 1-gen_a/a 4-gen_k/k 1-gen_a/a
1430	584	0	0	ukuari			ukwaɾi	cansarse físicamente, agitarse	become physically tired		9	226								V.		u k w a ɾ i	Kokama	7 1 6 7 5 7	XBCYBZ	YKWARI	1	1.Y.V 1.K.C 1.W.C 1.A.V 1.R.C 1.I.V	1.5 1.75 1.5 1.3 1.75 0.8	0	271	u k w a ɾ i	271	c c c c c c	5-gen_u/u 54-kok_w_glide/k 40-kok_w_glide/w 1-gen_a/a 3-gen_ɾ/ɾ 8-gen_i/i
2327	1723	688	3	maraara			maɾaaɾa	adoecer	become sick	OL: Could perhaps be /maɾaʔaɾa/.	2	83									(xe)	m a ɾ a a ɾ a	Tupinamba	4 7 5 7 7 5 7	AXBYYBZ	MARAARA	3	3.M.C 3.A.V 3.R.C 3.A.V 3.A.V 3.R.C 3.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	1	272	m a ɾ a a ɾ a	272	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
1293	572	572	1	tsain			tsajn	hacerse ácido, avinagrarse	become sour, acidic, bitter		9	201								V.		ts a j n	Kokama	2 7 6 4	AXLN	CAJN	1	1.C.C 1.A.V 1.J.c 1.N.c	2.0 1.5 1.1 0.8	1	273	ts a j n	273	c c c c	0/n 0/n 0/n 0/n
2921	1650	499	3	quessaba			kesaβa	cama	bed		2	136										k e s a β a	Tupinamba	1 7 3 7 3 7	AXBYBZ	KESABA	3	3.K.C 3.E.V 3.S.C 3.A.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	275	k e s a β a	275	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
3129	1682	500	2	upaba			upaβa	cama	bed		2	157									(t)	t u p a β a	Tupinamba	7 1 7 3 7	XBYBZ	YPABA	3	3.Y.V 3.P.C 3.A.V 3.B.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	274	t u p a β a	274	c c c c c c	7-gen_t/t 5-gen_u/u 6-gen_p/p 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
2288	1476	506	2	jurá			juɾá	estrado	bed frame, platform		2	80										j u ɾ á	Tupinamba	6 7 5 7	AXBZ	JYRA	3	3.J.C 3.Y.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	0	276	j u ɾ á	276	c c c c	0/n 0/n 0/n 0/n
2920	1649	499	1	quessaba			kesaβa	lugar, tempo, etc. de dormir	bed time		2	136										k e s a β a	Tupinamba	1 7 3 7 3 7	AXBYBZ	KESABA	3	3.K.C 3.E.V 3.S.C 3.A.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	277	k e s a β a	277	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
540	331	0	0		tupa		tupa	bed, place	bed, place													t u p a	Omagua	1 7 1 7	AXBZ	TYPA	2	2.T.C 2.Y.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	278	t u p a - -	274	c c c c	7-gen_t/t 5-gen_u/u 6-gen_p/p 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
204	130	0	0		kawi		kawi	bee	bee													k a w i	Omagua	1 7 6 7	AXBZ	KAWI	2	2.K.C 2.A.V 2.W.C 2.I.V	2.0 1.5 1.75 0.8	0	280	k a w i	280	c c c c	4-gen_k/k 1-gen_a/a 17-b>w/w 8-gen_i/i
